Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-07-20 21:00:00,33.00,153.00
2025-07-20 22:00:00,34.00,146.00
2025-07-20 23:00:00,29.00,140.00
2025-07-21 00:00:00,25.00,102.00
2025-07-21 01:00:00,29.00,79.00
2025-07-21 02:00:00,27.00,88.00
2025-07-21 03:00:00,28.00,83.00
2025-07-21 04:00:00,28.00,79.00
2025-07-21 05:00:00,30.00,84.00
2025-07-21 06:00:00,33.00,91.00
2025-07-21 07:00:00,35.00,121.00
2025-07-21 08:00:00,35.00,161.00
2025-07-21 09:00:00,51.00,361.00
2025-07-21 10:00:00,40.00,208.00
2025-07-21 11:00:00,44.00,174.00
2025-07-21 12:00:00,50.00,175.00
2025-07-21 13:00:00,40.00,149.00
2025-07-21 14:00:00,51.00,178.00
2025-07-21 15:00:00,47.00,193.00
2025-07-21 16:00:00,41.00,119.00
2025-07-21 17:00:00,51.00,166.00
2025-07-21 18:00:00,35.00,84.00
2025-07-21 19:00:00,20.00,62.00
2025-07-21 20:00:00,20.00,92.00
2025-07-21 21:00:00,31.00,111.00
2025-07-21 22:00:00,34.00,117.00
2025-07-21 23:00:00,42.00,143.00
2025-07-22 00:00:00,44.00,134.00
2025-07-22 01:00:00,63.00,138.00
2025-07-22 02:00:00,68.00,150.00
2025-07-22 03:00:00,46.00,97.00
2025-07-22 04:00:00,52.00,89.00
2025-07-22 05:00:00,46.00,99.00
2025-07-22 06:00:00,45.00,97.00
2025-07-22 07:00:00,52.00,178.00
2025-07-22 08:00:00,57.00,210.00
2025-07-22 09:00:00,57.00,260.00
2025-07-22 10:00:00,56.00,171.00
2025-07-22 11:00:00,41.00,143.00
2025-07-22 12:00:00,24.00,52.00
2025-07-22 13:00:00,20.00,39.00
2025-07-22 14:00:00,5.00,19.00
2025-07-22 15:00:00,17.00,25.00
2025-07-22 16:00:00,23.00,45.00
2025-07-22 17:00:00,27.00,78.00
2025-07-22 18:00:00,48.00,116.00
2025-07-22 19:00:00,48.00,124.00
2025-07-22 20:00:00,52.00,191.00
2025-07-22 21:00:00,44.00,149.00
2025-07-22 22:00:00,9.00,80.00
2025-07-22 23:00:00,9.00,59.00
2025-07-23 00:00:00,8.00,35.00
2025-07-23 01:00:00,7.00,33.00
2025-07-23 02:00:00,12.00,38.00
2025-07-23 03:00:00,18.00,47.00
2025-07-23 04:00:00,12.00,39.00
2025-07-23 05:00:00,18.00,34.00
2025-07-23 06:00:00,20.00,51.00
2025-07-23 07:00:00,29.00,94.00
2025-07-23 08:00:00,33.00,113.00
2025-07-23 09:00:00,18.00,35.00
2025-07-23 10:00:00,12.00,29.00
2025-07-23 11:00:00,12.00,27.00
2025-07-23 12:00:00,18.00,42.00
2025-07-23 13:00:00,33.00,57.00
2025-07-23 14:00:00,25.00,73.00
2025-07-23 15:00:00,20.00,107.00
2025-07-23 16:00:00,30.00,100.00
2025-07-23 17:00:00,20.00,95.00
2025-07-23 18:00:00,25.00,105.00
2025-07-23 19:00:00,23.00,90.00
2025-07-23 20:00:00,24.00,111.00
2025-07-23 21:00:00,31.00,183.00
2025-07-23 22:00:00,34.00,184.00
2025-07-23 23:00:00,33.00,179.00
2025-07-24 00:00:00,36.00,185.00
2025-07-24 01:00:00,56.00,207.00
2025-07-24 02:00:00,46.00,149.00
2025-07-24 03:00:00,12.00,42.00
2025-07-24 04:00:00,7.00,19.00
2025-07-24 05:00:00,9.00,20.00
2025-07-24 06:00:00,8.00,33.00
2025-07-24 07:00:00,25.00,122.00
2025-07-24 08:00:00,31.00,138.00
2025-07-24 09:00:00,30.00,166.00
2025-07-24 10:00:00,29.00,125.00
2025-07-24 11:00:00,31.00,139.00
2025-07-24 12:00:00,33.00,155.00
2025-07-24 13:00:00,36.00,149.00
2025-07-24 14:00:00,41.00,164.00
2025-07-24 15:00:00,38.00,153.00
2025-07-24 16:00:00,38.00,153.00
2025-07-24 17:00:00,39.00,149.00
2025-07-24 18:00:00,46.00,160.00
2025-07-24 19:00:00,53.00,182.00
2025-07-24 20:00:00,55.00,226.00
2025-07-24 21:00:00,52.00,238.00
2025-07-24 22:00:00,56.00,217.00
2025-07-24 23:00:00,48.00,233.00
2025-07-25 00:00:00,51.00,273.00
2025-07-25 01:00:00,45.00,174.00
2025-07-25 02:00:00,57.00,167.00
2025-07-25 03:00:00,48.00,156.00
2025-07-25 04:00:00,64.00,158.00
2025-07-25 05:00:00,55.00,129.00
2025-07-25 06:00:00,40.00,108.00
2025-07-25 07:00:00,33.00,128.00
2025-07-25 08:00:00,40.00,147.00
2025-07-25 09:00:00,39.00,227.00
2025-07-25 10:00:00,46.00,152.00
2025-07-25 11:00:00,29.00,133.00
2025-07-25 12:00:00,NA,NA
2025-07-25 13:00:00,50.00,169.00
2025-07-25 14:00:00,39.00,158.00
2025-07-25 15:00:00,44.00,160.00
2025-07-25 16:00:00,36.00,133.00
2025-07-25 17:00:00,34.00,114.00
2025-07-25 18:00:00,34.00,114.00
2025-07-25 19:00:00,35.00,129.00
2025-07-25 20:00:00,33.00,138.00
2025-07-25 21:00:00,30.00,96.00
2025-07-25 22:00:00,46.00,218.00
2025-07-25 23:00:00,46.00,232.00
2025-07-26 00:00:00,33.00,112.00
2025-07-26 01:00:00,12.00,24.00
2025-07-26 02:00:00,14.00,25.00
2025-07-26 03:00:00,22.00,28.00
2025-07-26 04:00:00,18.00,33.00
2025-07-26 05:00:00,20.00,30.00
2025-07-26 06:00:00,24.00,33.00
2025-07-26 07:00:00,22.00,47.00
2025-07-26 08:00:00,23.00,61.00
2025-07-26 09:00:00,30.00,72.00
2025-07-26 10:00:00,20.00,84.00
2025-07-26 11:00:00,29.00,89.00
2025-07-26 12:00:00,41.00,125.00
2025-07-26 13:00:00,30.00,141.00
2025-07-26 14:00:00,24.00,96.00
2025-07-26 15:00:00,20.00,96.00
2025-07-26 16:00:00,40.00,121.00
2025-07-26 17:00:00,64.00,160.00
2025-07-26 18:00:00,30.00,127.00
2025-07-26 19:00:00,38.00,153.00
2025-07-26 20:00:00,35.00,178.00
2025-07-26 21:00:00,41.00,193.00
2025-07-26 22:00:00,34.00,119.00
2025-07-26 23:00:00,35.00,119.00
2025-07-27 00:00:00,42.00,117.00
2025-07-27 01:00:00,42.00,103.00
2025-07-27 02:00:00,42.00,100.00
2025-07-27 03:00:00,30.00,72.00
2025-07-27 04:00:00,29.00,72.00
2025-07-27 05:00:00,29.00,79.00
2025-07-27 06:00:00,31.00,85.00
2025-07-27 07:00:00,30.00,95.00
2025-07-27 08:00:00,20.00,96.00
2025-07-27 09:00:00,24.00,85.00
2025-07-27 10:00:00,27.00,86.00
2025-07-27 11:00:00,29.00,81.00
2025-07-27 12:00:00,22.00,89.00
2025-07-27 13:00:00,29.00,90.00
2025-07-27 14:00:00,23.00,85.00
2025-07-27 15:00:00,30.00,92.00
2025-07-27 16:00:00,25.00,84.00
2025-07-27 17:00:00,24.00,83.00
2025-07-27 18:00:00,27.00,84.00
2025-07-27 19:00:00,33.00,111.00
2025-07-27 20:00:00,34.00,140.00
2025-07-27 21:00:00,38.00,118.00
2025-07-27 22:00:00,30.00,105.00
2025-07-27 23:00:00,31.00,96.00
2025-07-28 00:00:00,23.00,79.00
2025-07-28 01:00:00,24.00,67.00
2025-07-28 02:00:00,22.00,58.00
2025-07-28 03:00:00,20.00,53.00
2025-07-28 04:00:00,24.00,47.00
2025-07-28 05:00:00,22.00,57.00
2025-07-28 06:00:00,38.00,74.00
2025-07-28 07:00:00,44.00,105.00
2025-07-28 08:00:00,44.00,151.00
2025-07-28 09:00:00,53.00,251.00
2025-07-28 10:00:00,57.00,255.00
2025-07-28 11:00:00,50.00,194.00
2025-07-28 12:00:00,51.00,146.00
2025-07-28 13:00:00,48.00,117.00
2025-07-28 14:00:00,42.00,141.00
2025-07-28 15:00:00,50.00,174.00
2025-07-28 16:00:00,52.00,92.00
2025-07-28 17:00:00,47.00,61.00
2025-07-28 18:00:00,NA,NA
2025-07-28 19:00:00,78.00,102.00
2025-07-28 20:00:00,69.00,110.00
2025-07-28 21:00:00,63.00,129.00
2025-07-28 22:00:00,48.00,101.00
2025-07-28 23:00:00,35.00,59.00
2025-07-29 00:00:00,53.00,74.00
2025-07-29 01:00:00,41.00,63.00
2025-07-29 02:00:00,63.00,68.00
2025-07-29 03:00:00,36.00,48.00
2025-07-29 04:00:00,53.00,70.00
2025-07-29 05:00:00,44.00,72.00
2025-07-29 06:00:00,48.00,68.00
2025-07-29 07:00:00,47.00,123.00
2025-07-29 08:00:00,39.00,119.00
2025-07-29 09:00:00,27.00,41.00
2025-07-29 10:00:00,35.00,41.00
2025-07-29 11:00:00,22.00,52.00
2025-07-29 12:00:00,24.00,35.00
2025-07-29 13:00:00,16.00,25.00
2025-07-29 14:00:00,NA,NA
2025-07-29 15:00:00,18.00,38.00
2025-07-29 16:00:00,19.00,45.00
2025-07-29 17:00:00,29.00,51.00
2025-07-29 18:00:00,18.00,46.00
2025-07-29 19:00:00,23.00,58.00
2025-07-29 20:00:00,35.00,91.00
2025-07-29 21:00:00,48.00,107.00
2025-07-29 22:00:00,28.00,75.00
2025-07-29 23:00:00,30.00,68.00
2025-07-30 00:00:00,29.00,61.00
2025-07-30 01:00:00,33.00,51.00
2025-07-30 02:00:00,30.00,42.00
2025-07-30 03:00:00,19.00,51.00
2025-07-30 04:00:00,27.00,47.00
2025-07-30 05:00:00,35.00,46.00
2025-07-30 06:00:00,31.00,55.00
2025-07-30 07:00:00,38.00,72.00
2025-07-30 08:00:00,30.00,88.00
2025-07-30 09:00:00,29.00,85.00
2025-07-30 10:00:00,36.00,69.00
2025-07-30 11:00:00,34.00,78.00
2025-07-30 12:00:00,39.00,89.00
2025-07-30 13:00:00,36.00,184.00
2025-07-30 14:00:00,29.00,112.00
2025-07-30 15:00:00,39.00,73.00
2025-07-30 16:00:00,34.00,42.00
2025-07-30 17:00:00,41.00,73.00
2025-07-30 18:00:00,19.00,25.00
2025-07-30 19:00:00,16.00,24.00
2025-07-30 20:00:00,24.00,38.00
2025-07-30 21:00:00,34.00,41.00
2025-07-30 22:00:00,22.00,39.00
2025-07-30 23:00:00,31.00,36.00
2025-07-31 00:00:00,33.00,56.00
2025-07-31 01:00:00,18.00,27.00
2025-07-31 02:00:00,16.00,22.00
2025-07-31 03:00:00,NA,NA
2025-07-31 04:00:00,12.00,16.00
2025-07-31 05:00:00,19.00,27.00
2025-07-31 06:00:00,29.00,33.00
2025-07-31 07:00:00,24.00,25.00
2025-07-31 08:00:00,23.00,25.00
2025-07-31 09:00:00,33.00,36.00
2025-07-31 10:00:00,38.00,41.00
2025-07-31 11:00:00,34.00,45.00
2025-07-31 12:00:00,NA,NA
2025-07-31 13:00:00,14.00,24.00
2025-07-31 14:00:00,14.00,17.00
2025-07-31 15:00:00,9.00,17.00
2025-07-31 16:00:00,7.00,13.00
2025-07-31 17:00:00,5.00,11.00
2025-07-31 18:00:00,13.00,17.00
2025-07-31 19:00:00,NA,NA
2025-07-31 20:00:00,9.00,13.00
2025-07-31 21:00:00,12.00,24.00
2025-07-31 22:00:00,22.00,28.00
2025-07-31 23:00:00,16.00,20.00
2025-08-01 00:00:00,14.00,33.00
2025-08-01 01:00:00,22.00,30.00
2025-08-01 02:00:00,24.00,47.00
2025-08-01 03:00:00,NA,NA
2025-08-01 04:00:00,NA,NA
2025-08-01 05:00:00,3.00,6.00
2025-08-01 06:00:00,2.00,6.00
2025-08-01 07:00:00,14.00,25.00
2025-08-01 08:00:00,28.00,64.00
2025-08-01 09:00:00,44.00,99.00
2025-08-01 10:00:00,45.00,102.00
2025-08-01 11:00:00,28.00,128.00
2025-08-01 12:00:00,27.00,122.00
2025-08-01 13:00:00,25.00,110.00
2025-08-01 14:00:00,22.00,80.00
2025-08-01 15:00:00,29.00,127.00
2025-08-01 16:00:00,17.00,73.00
2025-08-01 17:00:00,24.00,69.00
2025-08-01 18:00:00,24.00,63.00
2025-08-01 19:00:00,23.00,67.00
2025-08-01 20:00:00,22.00,64.00
2025-08-01 21:00:00,23.00,72.00
2025-08-01 22:00:00,23.00,83.00
2025-08-01 23:00:00,24.00,84.00
2025-08-02 00:00:00,27.00,105.00
2025-08-02 01:00:00,23.00,88.00
2025-08-02 02:00:00,22.00,129.00
2025-08-02 03:00:00,29.00,75.00
2025-08-02 04:00:00,20.00,68.00
2025-08-02 05:00:00,28.00,111.00
2025-08-02 06:00:00,25.00,89.00
2025-08-02 07:00:00,42.00,223.00
2025-08-02 08:00:00,42.00,204.00
2025-08-02 09:00:00,38.00,169.00
2025-08-02 10:00:00,39.00,158.00
2025-08-02 11:00:00,36.00,160.00
2025-08-02 12:00:00,34.00,134.00
2025-08-02 13:00:00,29.00,96.00
2025-08-02 14:00:00,33.00,114.00
2025-08-02 15:00:00,31.00,119.00
2025-08-02 16:00:00,36.00,117.00
2025-08-02 17:00:00,39.00,107.00
2025-08-02 18:00:00,36.00,138.00
2025-08-02 19:00:00,29.00,125.00
2025-08-02 20:00:00,20.00,46.00
2025-08-02 21:00:00,16.00,39.00
2025-08-02 22:00:00,12.00,25.00
2025-08-02 23:00:00,20.00,39.00
2025-08-03 00:00:00,18.00,34.00
2025-08-03 01:00:00,9.00,31.00
2025-08-03 02:00:00,17.00,18.00
2025-08-03 03:00:00,2.00,13.00
2025-08-03 04:00:00,13.00,25.00
2025-08-03 05:00:00,14.00,35.00
2025-08-03 06:00:00,14.00,38.00
2025-08-03 07:00:00,29.00,53.00
2025-08-03 08:00:00,28.00,66.00
2025-08-03 09:00:00,29.00,92.00
2025-08-03 10:00:00,41.00,96.00
2025-08-03 11:00:00,25.00,107.00
2025-08-03 12:00:00,36.00,123.00
2025-08-03 13:00:00,39.00,153.00
2025-08-03 14:00:00,40.00,172.00
2025-08-03 15:00:00,42.00,177.00
2025-08-03 16:00:00,50.00,172.00
2025-08-03 17:00:00,39.00,188.00
2025-08-03 18:00:00,38.00,166.00
2025-08-03 19:00:00,47.00,204.00
2025-08-03 20:00:00,41.00,213.00
2025-08-03 21:00:00,39.00,200.00
2025-08-03 22:00:00,41.00,195.00
2025-08-03 23:00:00,41.00,197.00
2025-08-04 00:00:00,39.00,190.00
2025-08-04 01:00:00,38.00,135.00
2025-08-04 02:00:00,41.00,124.00
2025-08-04 03:00:00,42.00,116.00
2025-08-04 04:00:00,23.00,92.00
2025-08-04 05:00:00,27.00,79.00
2025-08-04 06:00:00,27.00,91.00
2025-08-04 07:00:00,36.00,194.00
2025-08-04 08:00:00,31.00,202.00
2025-08-04 09:00:00,39.00,261.00
2025-08-04 10:00:00,36.00,249.00
2025-08-04 11:00:00,29.00,152.00
2025-08-04 12:00:00,34.00,175.00
2025-08-04 13:00:00,28.00,151.00
2025-08-04 14:00:00,28.00,138.00
2025-08-04 15:00:00,33.00,174.00
2025-08-04 16:00:00,33.00,158.00
2025-08-04 17:00:00,36.00,174.00
2025-08-04 18:00:00,35.00,178.00
2025-08-04 19:00:00,30.00,174.00
2025-08-04 20:00:00,27.00,138.00
2025-08-04 21:00:00,36.00,141.00
2025-08-04 22:00:00,24.00,59.00
2025-08-04 23:00:00,29.00,59.00
2025-08-05 00:00:00,35.00,72.00
2025-08-05 01:00:00,34.00,95.00
2025-08-05 02:00:00,33.00,85.00
2025-08-05 03:00:00,34.00,68.00
2025-08-05 04:00:00,23.00,68.00
2025-08-05 05:00:00,28.00,67.00
2025-08-05 06:00:00,23.00,69.00
2025-08-05 07:00:00,23.00,101.00
2025-08-05 08:00:00,31.00,138.00
2025-08-05 09:00:00,34.00,158.00
2025-08-05 10:00:00,34.00,134.00
2025-08-05 11:00:00,39.00,151.00
2025-08-05 12:00:00,31.00,156.00
2025-08-05 13:00:00,33.00,130.00
2025-08-05 14:00:00,23.00,110.00
2025-08-05 15:00:00,28.00,138.00
2025-08-05 16:00:00,27.00,157.00
2025-08-05 17:00:00,33.00,161.00
2025-08-05 18:00:00,30.00,147.00
2025-08-05 19:00:00,38.00,207.00
2025-08-05 20:00:00,33.00,196.00
2025-08-05 21:00:00,24.00,153.00
2025-08-05 22:00:00,28.00,132.00
2025-08-05 23:00:00,39.00,157.00
2025-08-06 00:00:00,22.00,79.00
2025-08-06 01:00:00,22.00,84.00
2025-08-06 02:00:00,24.00,89.00
2025-08-06 03:00:00,25.00,89.00
2025-08-06 04:00:00,36.00,90.00
2025-08-06 05:00:00,36.00,91.00
2025-08-06 06:00:00,39.00,89.00
2025-08-06 07:00:00,36.00,125.00
2025-08-06 08:00:00,27.00,173.00
2025-08-06 09:00:00,29.00,218.00
2025-08-06 10:00:00,27.00,130.00
2025-08-06 11:00:00,34.00,133.00
2025-08-06 12:00:00,25.00,155.00
2025-08-06 13:00:00,27.00,149.00
2025-08-06 14:00:00,33.00,167.00
2025-08-06 15:00:00,31.00,177.00
2025-08-06 16:00:00,28.00,174.00
2025-08-06 17:00:00,30.00,155.00
2025-08-06 18:00:00,24.00,145.00
2025-08-06 19:00:00,33.00,205.00
2025-08-06 20:00:00,31.00,191.00
2025-08-06 21:00:00,30.00,153.00
2025-08-06 22:00:00,38.00,173.00
2025-08-06 23:00:00,36.00,166.00
2025-08-07 00:00:00,30.00,111.00
2025-08-07 01:00:00,33.00,97.00
2025-08-07 02:00:00,30.00,75.00
2025-08-07 03:00:00,30.00,79.00
2025-08-07 04:00:00,29.00,68.00
2025-08-07 05:00:00,22.00,62.00
2025-08-07 06:00:00,19.00,83.00
2025-08-07 07:00:00,29.00,145.00
2025-08-07 08:00:00,30.00,121.00
2025-08-07 09:00:00,40.00,226.00
2025-08-07 10:00:00,24.00,124.00
2025-08-07 11:00:00,24.00,129.00
2025-08-07 12:00:00,23.00,107.00
2025-08-07 13:00:00,27.00,123.00
2025-08-07 14:00:00,27.00,119.00
2025-08-07 15:00:00,24.00,116.00
2025-08-07 16:00:00,27.00,124.00
2025-08-07 17:00:00,30.00,138.00
2025-08-07 18:00:00,28.00,140.00
2025-08-07 19:00:00,29.00,147.00
2025-08-07 20:00:00,28.00,158.00
2025-08-07 21:00:00,38.00,155.00
2025-08-07 22:00:00,31.00,167.00
2025-08-07 23:00:00,33.00,144.00
2025-08-08 00:00:00,34.00,133.00
2025-08-08 01:00:00,29.00,117.00
2025-08-08 02:00:00,27.00,92.00
2025-08-08 03:00:00,23.00,80.00
2025-08-08 04:00:00,30.00,88.00
2025-08-08 05:00:00,23.00,81.00
2025-08-08 06:00:00,19.00,84.00
2025-08-08 07:00:00,29.00,140.00
2025-08-08 08:00:00,29.00,179.00
2025-08-08 09:00:00,34.00,200.00
2025-08-08 10:00:00,30.00,144.00
2025-08-08 11:00:00,23.00,123.00
2025-08-08 12:00:00,25.00,130.00
2025-08-08 13:00:00,27.00,151.00
2025-08-08 14:00:00,27.00,153.00
2025-08-08 15:00:00,25.00,166.00
2025-08-08 16:00:00,25.00,145.00
2025-08-08 17:00:00,25.00,150.00
2025-08-08 18:00:00,28.00,151.00
2025-08-08 19:00:00,28.00,172.00
2025-08-08 20:00:00,30.00,183.00
2025-08-08 21:00:00,31.00,162.00
2025-08-08 22:00:00,24.00,121.00
2025-08-08 23:00:00,25.00,117.00
2025-08-09 00:00:00,23.00,116.00
2025-08-09 01:00:00,20.00,31.00
2025-08-09 02:00:00,16.00,33.00
2025-08-09 03:00:00,22.00,35.00
2025-08-09 04:00:00,14.00,46.00
2025-08-09 05:00:00,22.00,53.00
2025-08-09 06:00:00,47.00,83.00
2025-08-09 07:00:00,56.00,90.00
2025-08-09 08:00:00,13.00,27.00
2025-08-09 09:00:00,20.00,34.00
2025-08-09 10:00:00,20.00,29.00
2025-08-09 11:00:00,22.00,41.00
2025-08-09 12:00:00,24.00,51.00
2025-08-09 13:00:00,24.00,47.00
2025-08-09 14:00:00,33.00,50.00
2025-08-09 15:00:00,28.00,45.00
2025-08-09 16:00:00,31.00,35.00
2025-08-09 17:00:00,31.00,47.00
2025-08-09 18:00:00,33.00,50.00
2025-08-09 19:00:00,40.00,56.00
2025-08-09 20:00:00,30.00,52.00
2025-08-09 21:00:00,33.00,47.00
2025-08-09 22:00:00,36.00,56.00
2025-08-09 23:00:00,36.00,59.00
2025-08-10 00:00:00,27.00,64.00
2025-08-10 01:00:00,35.00,66.00
2025-08-10 02:00:00,30.00,66.00
2025-08-10 03:00:00,30.00,63.00
2025-08-10 04:00:00,29.00,59.00
2025-08-10 05:00:00,29.00,72.00
2025-08-10 06:00:00,31.00,81.00
2025-08-10 07:00:00,50.00,101.00
2025-08-10 08:00:00,38.00,92.00
2025-08-10 09:00:00,38.00,101.00
2025-08-10 10:00:00,41.00,97.00
2025-08-10 11:00:00,45.00,91.00
2025-08-10 12:00:00,23.00,81.00
2025-08-10 13:00:00,23.00,95.00
2025-08-10 14:00:00,28.00,100.00
2025-08-10 15:00:00,34.00,111.00
2025-08-10 16:00:00,35.00,92.00
2025-08-10 17:00:00,27.00,114.00
2025-08-10 18:00:00,30.00,155.00
2025-08-10 19:00:00,35.00,160.00
2025-08-10 20:00:00,33.00,171.00
2025-08-10 21:00:00,38.00,216.00
2025-08-10 22:00:00,44.00,183.00
2025-08-10 23:00:00,39.00,226.00
2025-08-11 00:00:00,42.00,182.00
2025-08-11 01:00:00,28.00,106.00
2025-08-11 02:00:00,22.00,70.00
2025-08-11 03:00:00,20.00,70.00
2025-08-11 04:00:00,20.00,83.00
2025-08-11 05:00:00,28.00,96.00
2025-08-11 06:00:00,25.00,92.00
2025-08-11 07:00:00,35.00,161.00
2025-08-11 08:00:00,34.00,190.00
2025-08-11 09:00:00,25.00,135.00
2025-08-11 10:00:00,27.00,139.00
2025-08-11 11:00:00,24.00,128.00
2025-08-11 12:00:00,29.00,145.00
2025-08-11 13:00:00,25.00,162.00
2025-08-11 14:00:00,28.00,158.00
2025-08-11 15:00:00,24.00,155.00
2025-08-11 16:00:00,27.00,133.00
2025-08-11 17:00:00,28.00,129.00
2025-08-11 18:00:00,27.00,132.00
2025-08-11 19:00:00,36.00,232.00
2025-08-11 20:00:00,42.00,268.00
2025-08-11 21:00:00,48.00,219.00
2025-08-11 22:00:00,70.00,211.00
2025-08-11 23:00:00,57.00,174.00
2025-08-12 00:00:00,31.00,114.00
2025-08-12 01:00:00,27.00,96.00
2025-08-12 02:00:00,25.00,92.00
2025-08-12 03:00:00,24.00,89.00
2025-08-12 04:00:00,20.00,39.00
2025-08-12 05:00:00,16.00,28.00
2025-08-12 06:00:00,9.00,27.00
2025-08-12 07:00:00,22.00,33.00
2025-08-12 08:00:00,27.00,41.00
2025-08-12 09:00:00,18.00,38.00
2025-08-12 10:00:00,22.00,39.00
2025-08-12 11:00:00,36.00,45.00
2025-08-12 12:00:00,35.00,81.00
2025-08-12 13:00:00,27.00,114.00
2025-08-12 14:00:00,27.00,158.00
2025-08-12 15:00:00,30.00,160.00
2025-08-12 16:00:00,29.00,135.00
2025-08-12 17:00:00,38.00,156.00
2025-08-12 18:00:00,38.00,195.00
2025-08-12 19:00:00,38.00,134.00
2025-08-12 20:00:00,38.00,215.00
2025-08-12 21:00:00,47.00,240.00
2025-08-12 22:00:00,40.00,235.00
2025-08-12 23:00:00,46.00,223.00
2025-08-13 00:00:00,48.00,298.00
2025-08-13 01:00:00,50.00,254.00
2025-08-13 02:00:00,42.00,195.00
2025-08-13 03:00:00,56.00,174.00
2025-08-13 04:00:00,62.00,208.00
2025-08-13 05:00:00,50.00,168.00
2025-08-13 06:00:00,58.00,172.00
2025-08-13 07:00:00,51.00,184.00
2025-08-13 08:00:00,42.00,216.00
2025-08-13 09:00:00,33.00,230.00
2025-08-13 10:00:00,34.00,163.00
2025-08-13 11:00:00,24.00,118.00
2025-08-13 12:00:00,22.00,133.00
2025-08-13 13:00:00,19.00,141.00
2025-08-13 14:00:00,20.00,133.00
2025-08-13 15:00:00,25.00,141.00
2025-08-13 16:00:00,30.00,122.00
2025-08-13 17:00:00,36.00,156.00
2025-08-13 18:00:00,36.00,183.00
2025-08-13 19:00:00,35.00,162.00
2025-08-13 20:00:00,59.00,274.00
2025-08-13 21:00:00,56.00,357.00
2025-08-13 22:00:00,48.00,310.00
2025-08-13 23:00:00,48.00,333.00
2025-08-14 00:00:00,51.00,210.00
2025-08-14 01:00:00,46.00,196.00
2025-08-14 02:00:00,34.00,111.00
2025-08-14 03:00:00,30.00,91.00
2025-08-14 04:00:00,25.00,59.00
2025-08-14 05:00:00,17.00,33.00
2025-08-14 06:00:00,12.00,22.00
2025-08-14 07:00:00,11.00,23.00
2025-08-14 08:00:00,20.00,27.00
2025-08-14 09:00:00,22.00,25.00
2025-08-14 10:00:00,18.00,25.00
2025-08-14 11:00:00,8.00,9.00
2025-08-14 12:00:00,5.00,11.00
2025-08-14 13:00:00,6.00,9.00
2025-08-14 14:00:00,6.00,11.00
2025-08-14 15:00:00,NA,NA
2025-08-14 16:00:00,NA,NA
2025-08-14 17:00:00,19.00,23.00
2025-08-14 18:00:00,23.00,25.00
2025-08-14 19:00:00,25.00,41.00
2025-08-14 20:00:00,38.00,48.00
2025-08-14 21:00:00,46.00,70.00
2025-08-14 22:00:00,46.00,73.00
2025-08-14 23:00:00,61.00,95.00
2025-08-15 00:00:00,53.00,85.00
2025-08-15 01:00:00,39.00,77.00
2025-08-15 02:00:00,33.00,62.00
2025-08-15 03:00:00,31.00,48.00
2025-08-15 04:00:00,34.00,46.00
2025-08-15 05:00:00,41.00,59.00
2025-08-15 06:00:00,39.00,57.00
2025-08-15 07:00:00,69.00,97.00
2025-08-15 08:00:00,74.00,88.00
2025-08-15 09:00:00,73.00,90.00
2025-08-15 10:00:00,67.00,92.00
2025-08-15 11:00:00,64.00,96.00
2025-08-15 12:00:00,69.00,75.00
2025-08-15 13:00:00,27.00,63.00
2025-08-15 14:00:00,28.00,99.00
2025-08-15 15:00:00,25.00,68.00
2025-08-15 16:00:00,34.00,69.00
2025-08-15 17:00:00,55.00,83.00
2025-08-15 18:00:00,72.00,103.00
2025-08-15 19:00:00,80.00,117.00
2025-08-15 20:00:00,92.00,130.00
2025-08-15 21:00:00,79.00,152.00
2025-08-15 22:00:00,97.00,172.00
2025-08-15 23:00:00,88.00,158.00
2025-08-16 00:00:00,73.00,125.00
2025-08-16 01:00:00,64.00,118.00
2025-08-16 02:00:00,59.00,112.00
2025-08-16 03:00:00,74.00,106.00
2025-08-16 04:00:00,69.00,102.00
2025-08-16 05:00:00,50.00,99.00
2025-08-16 06:00:00,52.00,105.00
2025-08-16 07:00:00,67.00,143.00
2025-08-16 08:00:00,52.00,128.00
2025-08-16 09:00:00,46.00,128.00
2025-08-16 10:00:00,45.00,182.00
2025-08-16 11:00:00,38.00,153.00
2025-08-16 12:00:00,41.00,127.00
2025-08-16 13:00:00,46.00,195.00
2025-08-16 14:00:00,56.00,145.00
2025-08-16 15:00:00,45.00,85.00
2025-08-16 16:00:00,41.00,55.00
2025-08-16 17:00:00,53.00,101.00
2025-08-16 18:00:00,59.00,119.00
2025-08-16 19:00:00,50.00,70.00
2025-08-16 20:00:00,62.00,88.00
2025-08-16 21:00:00,73.00,116.00
2025-08-16 22:00:00,59.00,114.00
2025-08-16 23:00:00,57.00,108.00
2025-08-17 00:00:00,39.00,92.00
2025-08-17 01:00:00,42.00,90.00
2025-08-17 02:00:00,39.00,102.00
2025-08-17 03:00:00,39.00,92.00
2025-08-17 04:00:00,39.00,86.00
2025-08-17 05:00:00,44.00,66.00
2025-08-17 06:00:00,30.00,47.00
2025-08-17 07:00:00,40.00,67.00
2025-08-17 08:00:00,40.00,61.00
2025-08-17 09:00:00,35.00,67.00
2025-08-17 10:00:00,45.00,91.00
2025-08-17 11:00:00,42.00,102.00
2025-08-17 12:00:00,41.00,107.00
2025-08-17 13:00:00,40.00,95.00
2025-08-17 14:00:00,34.00,99.00
